,bankroll,alpha,binarize,fit_priorbool,span_value,test_size_value,ROI,Number_of_bets,0
448,,0.1,0.01,False,0.1,9,-0.11632352941176476,136,84.17999999999999
449,,0.1,0.01,False,0.1,10,-0.13917293233082711,133,81.49
450,,0.1,0.01,False,0.2,1,-0.06530612244897951,1078,29.60000000000008
451,,0.1,0.01,False,0.2,2,-0.09290909090909072,715,33.570000000000135
452,,0.1,0.01,False,0.2,3,-0.07978813559322023,708,43.510000000000076
453,,0.1,0.01,False,0.2,4,-0.0888760806916425,694,38.32000000000011
454,,0.1,0.01,False,0.2,5,-0.08638596491228052,285,75.38000000000005
455,,0.1,0.01,False,0.2,6,-0.0895804195804194,286,74.38000000000005
456,,0.1,0.01,False,0.2,7,-0.10054982817869398,291,70.74000000000005
457,,0.1,0.01,False,0.2,8,-0.11123711340206167,291,67.63000000000005
458,,0.1,0.01,False,0.2,9,-0.1161267605633801,284,67.02000000000005
459,,0.1,0.01,False,0.2,10,-0.10320689655172396,290,70.07000000000005
460,,0.1,0.01,False,0.3,1,-0.36465601965601957,1628,-493.6599999999998
461,,0.1,0.01,False,0.3,2,-0.4001082055906222,1109,-343.72
462,,0.1,0.01,False,0.3,3,-0.41579902302861127,1433,-495.8399999999999
463,,0.1,0.01,False,0.3,4,-0.41008928571428577,448,-83.72000000000001
464,,0.1,0.01,False,0.3,5,-0.41301431801055005,1327,-448.06999999999994
465,,0.1,0.01,False,0.3,6,-0.38373205741626804,418,-60.40000000000002
466,,0.1,0.01,False,0.3,7,-0.39657599999999993,1250,-395.7199999999999
467,,0.1,0.01,False,0.3,8,-0.38666666666666677,420,-62.40000000000002
468,,0.1,0.01,False,0.3,9,-0.4313163265306123,980,-322.69000000000005
469,,0.1,0.01,False,0.3,10,-0.42610766045548654,966,-311.62
470,,0.1,0.01,False,0.4,1,-0.5410195121951219,2050,-1009.0899999999999
471,,0.1,0.01,False,0.4,2,-0.5023050259965337,577,-189.82999999999996
472,,0.1,0.01,False,0.4,3,-0.5023050259965337,577,-189.82999999999996
473,,0.1,0.01,False,0.4,4,-0.4878468208092486,1384,-575.1800000000001
474,,0.1,0.01,False,0.4,5,-0.4932265112891479,1373,-577.2
475,,0.1,0.01,False,0.4,6,-0.5191533451746595,1689,-776.8499999999999
476,,0.1,0.01,False,0.4,7,-0.49763951734539963,1326,-559.8699999999999
477,,0.1,0.01,False,0.4,8,-0.5163553113553112,546,-181.92999999999995
478,,0.1,0.01,False,0.4,9,-0.5293420150788211,1459,-672.31
479,,0.1,0.01,False,0.4,10,-0.5169482071713147,1255,-548.77
480,,0.1,0.1,True,0.1,1,-0.10240986717267551,527,46.03
481,,0.1,0.1,True,0.1,2,-0.18672566371681437,113,78.89999999999998
482,,0.1,0.1,True,0.1,3,-0.12902985074626871,134,82.71
483,,0.1,0.1,True,0.1,4,-0.1682300884955754,113,80.98999999999998
484,,0.1,0.1,True,0.1,5,-0.17776785714285737,112,80.08999999999997
485,,0.1,0.1,True,0.1,6,-0.11261194029850749,134,84.91
486,,0.1,0.1,True,0.1,7,-0.2131531531531534,111,76.33999999999997
487,,0.1,0.1,True,0.1,8,0.013280254777070295,314,104.17000000000007
488,,0.1,0.1,True,0.1,9,0.014688524590164181,305,104.48000000000008
489,,0.1,0.1,True,0.1,10,0.00403703703703726,270,101.09000000000006
490,,0.1,0.1,True,0.2,1,-0.057342723004694805,1065,38.930000000000035
491,,0.1,0.1,True,0.2,2,-0.09426056338028152,284,73.23000000000005
492,,0.1,0.1,True,0.2,3,-0.09743859649122791,285,72.23000000000005
493,,0.1,0.1,True,0.2,4,-0.09850174216027859,287,71.73000000000005
494,,0.1,0.1,True,0.2,5,-0.08638596491228052,285,75.38000000000005
495,,0.1,0.1,True,0.2,6,-0.08638596491228052,285,75.38000000000005
496,,0.1,0.1,True,0.2,7,-0.10213793103448258,290,70.38000000000005
497,,0.1,0.1,True,0.2,8,-0.06524793388429731,242,84.21000000000005
498,,0.1,0.1,True,0.2,9,-0.11217391304347817,644,27.760000000000062
499,,0.1,0.1,True,0.2,10,-0.10934931506849298,292,68.07000000000005
500,,0.1,0.1,True,0.3,1,-0.36594091201027606,1557,-469.76999999999987
501,,0.1,0.1,True,0.3,2,-0.41140311804008917,449,-84.72000000000001
502,,0.1,0.1,True,0.3,3,-0.41013542409123305,1403,-475.41999999999996
503,,0.1,0.1,True,0.3,4,-0.38225419664268595,417,-59.40000000000002
504,,0.1,0.1,True,0.3,5,-0.38225419664268595,417,-59.40000000000002
505,,0.1,0.1,True,0.3,6,-0.38373205741626804,418,-60.40000000000002
